#: table_doi: 10.17182/hepdata.115022.v2/t35
#: name: ak7_correlations_y3_y3
#: description: The correlation matrix at the particle level of inclusive jet production cross section as a function of the jet transverse momentum~$p_\mathrm{T}$ for jets in $1.0 < |y| < 1.5$ clustered using the anti-$k_\mathrm{t}$ algorithm with $R=0.7$. It contains contributions from the data and from the \textsc{PYTHIA}~8 sample used to perform the unfolding.
#: data_file: ak7_correlations_y3_y3.yaml
#: keyword observables: correlations
Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   correlation
2119.0   2000.0   2238.0   197.0   174.0   220.0   3.2277e-06
2119.0   2000.0   2238.0   246.0   220.0   272.0   -7.324e-06
2119.0   2000.0   2238.0   301.0   272.0   330.0   1.6244e-05
2119.0   2000.0   2238.0   362.5   330.0   395.0   -3.6603e-05
2119.0   2000.0   2238.0   431.5   395.0   468.0   8.6268e-05
2119.0   2000.0   2238.0   508.0   468.0   548.0   -0.00020221
2119.0   2000.0   2238.0   593.0   548.0   638.0   0.00047346
2119.0   2000.0   2238.0   687.5   638.0   737.0   -0.00092949
2119.0   2000.0   2238.0   791.5   737.0   846.0   0.0018957
2119.0   2000.0   2238.0   906.5   846.0   967.0   -0.0039398
2119.0   2000.0   2238.0   1034.0   967.0   1101.0   0.008331
2119.0   2000.0   2238.0   1174.5   1101.0   1248.0   -0.017299
2119.0   2000.0   2238.0   1329.0   1248.0   1410.0   0.035965
2119.0   2000.0   2238.0   1499.0   1410.0   1588.0   -0.079573
2119.0   2000.0   2238.0   1686.0   1588.0   1784.0   0.18663
2119.0   2000.0   2238.0   1892.0   1784.0   2000.0   -0.58493
2119.0   2000.0   2238.0   2119.0   2000.0   2238.0   1.0
